10-Yard Fight	1985
1942	1986
1943: The Battle of Midway	1988
3-D WorldRunner	1987
6-in-1	1992
720°	1989
8 Eyes	1990
Abadox	1990
Action 52	1991
The Addams Family	1992
The Addams Family: Pugsley's Scavenger Hunt	1993
Advanced Dungeons &amp; Dragons: DragonStrike	1992
Advanced Dungeons &amp; Dragons: Heroes of the Lance	1991
Advanced Dungeons &amp; Dragons: Hillsfar	1993
Advanced Dungeons &amp; Dragons: Pool of Radiance	1992
Adventure Island	1988
Adventure Island 2	1991
Adventure Island 3	1992
Adventures in the Magic Kingdom	1990
The Adventures of Bayou Billy	1989
The Adventures of Dino Riki	1989
The Adventures of Gilligan's Island	1990
Adventures of Lolo	1989
Adventures of Lolo 2	1990
Adventures of Lolo 3	1991
The Adventures of Rad Gravity	1990
The Adventures of Rocky and Bullwinkle and Friends	1992
The Adventures of Tom Sawyer	1989
After Burner	1989
Air Fortress	1989
Airwolf	1989
Al Unser Jr.'s Turbo Racing	1990
Aladdin	1994
Alfred Chicken	1994
Alien³	1993
Alien Syndrome	1988
All-Pro Basketball	1989
Alpha Mission	1987
Amagon	1989
American Gladiators	1991
Anticipation	1988
Arch Rivals: A Basket Brawl!	1990
Archon	1989
Arkanoid	1987
Arkista's Ring	1990
Asterix	1993
Astyanax	1990
Athena	1987
Athletic World	1987
Attack of the Killer Tomatoes	1992
Aussie Rules Footy	1991
Baby Boomer	1989
Back to the Future	1989
Back to the Future Part II &amp; III	1990
Bad Dudes	1990
Bad News Baseball	1990
Bad Street Brawler	1989
Balloon Fight	1986
Banana Prince	1992
Bandai Golf: Challenge Pebble Beach	1989
Bandit Kings of Ancient China	1990
Barbie	1991
The Bard's Tale	1991
Barker Bill's Trick Shooting	1990
Base Wars	1991
Baseball	1985
Baseball Simulator 1.000	1990
Baseball Stars	1989
Baseball Stars II	1992
Bases Loaded	1988
Bases Loaded II: Second Season	1990
Bases Loaded 3	1991
Bases Loaded 4	1993
Batman	1990
Batman Returns	1993
Batman: Return of the Joker	1991
Battle Chess	1990
Battle Kid: Fortress of Peril	2010
The Battle of Olympus	1989
Battle Tank	1990
Battleship	1993
Battletoads	1991
Battletoads &amp; Double Dragon	1993
Beauty and the Beast	1994
Bee 52	1992
Beetlejuice	1991
Best of the Best: Championship Karate	1992
Bible Adventures	1990
Bible Buffet	1993
Big Nose Freaks Out	1992
Big Nose the Caveman	1991
Bigfoot	1990
Bill and Ted's Excellent Video Game Adventure	1991
Bill Elliott's NASCAR Challenge	1991
Bionic Commando	1988
The Black Bass	1989
Blackjack	1992
Blades of Steel	1988
Blaster Master	1988
The Blue Marlin	1992
The Blues Brothers	1992
Bo Jackson Baseball	1991
Bomberman	1987
Bomberman II	1992
Bonk's Adventure	1994
Boulder Dash	1990
A Boy and His Blob	1990
Bram Stoker's Dracula	1993
Break Time: The National Pool Tour	1993
Breakthru	1987
Bubble Bath Babes	1991
Bubble Bobble	1988
Bubble Bobble Part 2	1993
Bucky O'Hare	1992
The Bugs Bunny Birthday Blowout	1990
The Bugs Bunny Crazy Castle	1989
Bump 'n' Jump	1988
Burai Fighter	1990
BurgerTime	1987
Cabal	1990
Caesar's Palace	1992
California Games	1989
Captain America and the Avengers	1991
Captain Comic - The Adventure	1989
Captain Planet	1991
Captain Skyhawk	1990
Casino Kid	1989
Casino Kid 2	1993
